step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.7027,0.25,0.17127,0.33333
2,2.19295,0.59259,4.08688,0.27273
3,1.12618,0.66667,3.62976,0.2
4,1.10744,0.8,5.5571,0.0
5,1.54039,0.5,0.23516,0.33333
6,0.74323,0.83333,1.4613,0.2
7,0.41118,1.0,2.08207,0.5
8,3.24152,0.28571,3.554,0.0
9,0.86316,0.80556,4.80154,0.25
10,1.10161,0.75,1.51808,0.5
11,0.29871,0.8,0.1653,0.33333
12,2.3199,0.5,4.2155,0.27273
13,4.74136,0.11538,3.80404,0.2
14,2.27722,0.51852,5.0878,0.0
15,0.09077,1.0,0.19083,0.33333
16,0.02458,1.0,1.6916,0.2
17,0.91779,0.75,1.66349,0.5
18,2.4303,0.54545,3.91063,0.0
19,4.43478,0.28571,5.26745,0.25
20,5.15429,0.5,1.04669,0.625
21,1.55749,0.71875,0.02295,0.33333
22,0.77267,0.78571,4.0318,0.18182
23,0.3806,0.75,3.61811,0.2
24,3.3145,0.33333,4.99706,0.0
25,2.49133,0.4375,0.07528,0.33333
26,1.30726,0.81081,2.12349,0.2
27,0.59341,0.84848,1.56513,0.58333
28,0.49964,0.91892,4.19783,0.0
29,0.35901,0.93878,5.54723,0.25
30,0.7804,0.6,1.16608,0.625
31,1.47962,0.5,0.01871,0.33333
32,1.00439,0.75,3.9166,0.18182
33,1.84349,0.88889,3.5021,0.2
34,1.87261,0.57143,5.2836,0.0
35,2.07228,0.5,0.0693,0.33333
36,3.94085,0.5,2.0648,0.2
37,0.54038,1.0,1.58241,0.58333
38,0.87905,0.83333,4.3097,0.0
39,0.01593,1.0,5.37393,0.25
40,0.45741,0.94444,1.42764,0.625
41,1.82858,0.75,0.01447,0.33333
42,5.22903,0.25,4.1513,0.18182
43,0.90862,0.5,3.58098,0.2
44,0.56601,0.84639,5.31159,0.0
45,0.22624,0.96,0.07029,0.33333
46,3.16388,0.54545,1.94881,0.2
47,1.45871,0.72816,1.58635,0.58333
48,3.94825,0.28387,4.50068,0.0
49,0.01232,1.0,5.25124,0.25
50,1.6059,0.6,1.43142,0.625
51,4.09571,0.16667,0.01259,0.33333
52,0.16415,0.94286,4.20749,0.18182
