step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.44419,0.75,1.70175,0.5
2,0.2882,0.95833,4.68783,0.3
3,0.01214,1.0,4.33739,0.25
4,1.41277,0.66667,5.8535,0.0
5,0.45334,0.84375,1.18546,1.0
6,4.10108,0.33333,3.27464,0.75
7,1.25644,0.46154,1.56402,0.45455
8,2.63789,0.33333,4.24246,0.33333
9,3.69089,0.33333,5.34697,0.0
10,0.26733,1.0,2.19465,0.57143
11,4.45715,0.09091,2.19921,0.0
12,0.73395,0.6,5.21176,0.2
13,1.49852,0.66667,4.89555,0.0
14,0.02339,1.0,6.20162,0.0
15,2.40762,0.42857,1.11538,0.5
16,2.14112,0.6,4.11964,0.5
17,0.92526,1.0,1.41261,0.45455
18,0.60913,0.9375,4.89748,0.0
19,4.77835,0.13725,5.58818,0.0
20,2.36385,0.61538,2.81589,0.57143
21,3.29343,0.42553,1.22342,0.5
22,0.02697,1.0,5.3907,0.3
23,2.17197,0.5,4.55266,0.25
24,4.42459,0.5,6.31304,0.16667
25,0.02028,1.0,0.46862,1.0
26,0.71,0.9434,3.56378,0.75
27,3.20951,0.25,1.60019,0.45455
28,1.44222,0.71429,4.35606,0.33333
29,2.12298,0.33333,5.47324,0.0
30,1.71644,0.7,2.64437,0.57143
31,0.43872,1.0,1.76404,0.0
32,0.55526,0.72727,5.30336,0.3
33,1.82028,0.54603,4.8176,0.25
34,4.49349,0.20779,6.27724,0.16667
35,0.21938,0.94118,0.8095,1.0
36,2.93697,0.4,3.53124,0.75
37,4.04615,0.25,1.66366,0.45455
38,2.97851,0.16667,4.90282,0.0
39,1.47268,0.73171,5.43375,0.0
40,0.89643,0.66667,2.35522,0.57143
41,1.22378,0.74286,2.23443,0.0
42,0.4896,0.91667,5.11862,0.3
43,1.7425,0.72222,4.73649,0.25
44,1.62985,0.66667,6.04677,0.0
45,2.4206,0.65385,1.51408,1.0
46,4.50164,0.28571,3.52769,0.75
47,1.17863,1.0,1.64116,0.45455
48,2.36624,0.33333,5.28002,0.0
49,5.40854,0.06452,5.47337,0.0
50,5.81522,0.33333,2.26936,0.57143
51,0.44919,0.66667,2.4669,0.0
52,0.45959,1.0,4.99893,0.3
